*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	TJ41C3_pm1_v2.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
  29 |  3852 | -1.95 |  444.70 |     0 |     0 |     0 | -145.54 |    0.00 |    0.00 |     0 | 0.00 || -2.04555 0.74638 -1.04341 -26.01962 4.66051 1.11742
  30 |  3844 | -2.14 |  442.30 |     0 |     0 |     0 |   23.39 |    0.00 |    0.00 |     0 | 0.00 || -1.57482 -0.26980 -2.32037 -6.81931 13.90300 -24.12345
  31 |  3840 | -2.45 |  442.20 |     0 |     0 |     0 | -152.98 |    0.00 |    0.00 |     0 | 0.00 || 0.90762 -0.24625 0.53385 -17.20599 9.05886 3.74267
  32 |  3834 | -2.23 |  464.70 |     0 |     0 |     0 | -187.63 |    0.00 |    0.00 |     0 | 0.00 || 2.43339 -0.00602 -0.39067 19.87037 8.25814 16.31721
  33 |  3830 | -1.69 |  427.50 |     0 |     0 |     0 |  -96.65 |    0.00 |    0.00 |     0 | 0.00 || 1.56419 1.02699 -0.94267 8.45930 27.85965 -1.85908
  34 |  3828 | -1.84 |  455.00 |     0 |     0 |     0 |  -97.84 |    0.00 |    0.00 |     0 | 0.00 || 1.23730 -0.46199 0.05714 -2.34902 18.40785 0.99534
  35 |  3822 | -2.48 |  436.00 |     0 |     0 |     0 | -161.54 |    0.00 |    0.00 |     0 | 0.00 || -0.90877 -1.31040 -1.88459 3.75803 14.29540 7.31843
  36 |  3820 | -2.15 |  475.20 |     0 |     0 |     0 | -152.25 |    0.00 |    0.00 |     0 | 0.00 || -2.13830 -0.77629 0.35250 27.81697 -15.89852 -0.56869
  37 |  3806 | -2.20 |  450.30 |     0 |     0 |     0 |  -86.95 |    0.00 |    0.00 |     0 | 0.00 || 1.27488 0.97551 3.05880 -10.77202 -24.28017 9.54079
  38 |  3806 | -2.16 |  478.80 |     0 |     0 |     0 | -109.73 |    0.00 |    0.00 |     0 | 0.00 || 3.12041 0.20460 2.43403 7.67727 1.21348 17.76837
  39 |  3800 | -2.51 |  454.90 |     0 |     0 |     0 | -187.21 |    0.00 |    0.00 |     0 | 0.00 || -0.80823 -0.00648 0.13910 21.01434 -12.05965 -20.16165
  40 |  3796 | -2.37 |  440.80 |     0 |     0 |     0 | -150.15 |    0.00 |    0.00 |     0 | 0.00 || 0.92738 -0.31354 2.67466 1.97048 -20.20926 4.16650
  41 |  3794 | -2.31 |  478.30 |     0 |     0 |     0 |  -67.43 |    0.00 |    0.00 |     0 | 0.00 || -0.42466 -1.19577 -2.93604 15.71578 14.66963 -4.08123
  42 |  3792 | -1.80 |  415.30 |     0 |     0 |     0 | -138.84 |    0.00 |    0.00 |     0 | 0.00 || -1.67631 1.04269 1.32858 35.34135 -4.38048 19.79606
  43 |  3788 | -2.14 |  449.60 |     0 |     0 |     0 |   -5.83 |    0.00 |    0.00 |     0 | 0.00 || -1.50539 -0.09081 1.45633 17.57426 -8.95453 -23.88059
  44 |  3788 | -2.07 |  441.90 |     0 |     0 |     0 | -154.22 |    0.00 |    0.00 |     0 | 0.00 || 2.22688 -1.42231 -1.17616 36.25157 -10.32577 -9.12042
