*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	AnkC2_G3_coot_final_01.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
  29 |  3606 | -2.14 |  413.10 |     0 |     0 |     0 |   27.60 |    0.00 |    0.00 |     0 | 0.00 || -1.92989 0.15464 -0.54734 -19.72019 -3.34860 24.51823
  30 |  3586 | -2.16 |  430.70 |     0 |     0 |     0 |   40.52 |    0.00 |    0.00 |     0 | 0.00 || 1.38465 -1.10923 2.62289 14.45951 -20.59248 57.87717
  31 |  3564 | -2.38 |  441.20 |     0 |     0 |     0 |   15.58 |    0.00 |    0.00 |     0 | 0.00 || 0.28296 -0.64657 -1.03573 3.40537 16.48220 29.96286
  32 |  3558 | -2.42 |  442.00 |     0 |     0 |     0 |   -6.31 |    0.00 |    0.00 |     0 | 0.00 || -2.47411 0.56888 2.33313 16.37757 -3.82728 26.02904
  33 |  3554 | -1.94 |  400.80 |     0 |     0 |     0 |   14.40 |    0.00 |    0.00 |     0 | 0.00 || 0.43718 0.65128 -1.12200 6.82144 9.02680 9.85001
  34 |  3550 | -2.57 |  457.40 |     0 |     0 |     0 |  -38.09 |    0.00 |    0.00 |     0 | 0.00 || 0.72320 -0.23075 -1.69653 18.64625 -14.82162 -1.47688
  35 |  3540 | -2.14 |  423.70 |     0 |     0 |     0 |   -8.24 |    0.00 |    0.00 |     0 | 0.00 || -2.99174 0.62620 -0.25879 -21.47664 9.84105 38.33244
  36 |  3538 | -2.39 |  456.70 |     0 |     0 |     0 |  -68.78 |    0.00 |    0.00 |     0 | 0.00 || 2.80116 0.60299 0.01141 -6.91258 -5.88481 34.50129
  37 |  3532 | -2.29 |  440.50 |     0 |     0 |     0 |  -39.09 |    0.00 |    0.00 |     0 | 0.00 || 1.68335 0.58439 1.56565 -18.88798 -11.00215 19.87002
  38 |  3504 | -2.19 |  431.50 |     0 |     0 |     0 |  -72.21 |    0.00 |    0.00 |     0 | 0.00 || 3.10114 0.65481 0.16985 -17.63884 9.50848 42.19849
  39 |  3500 | -2.33 |  444.10 |     0 |     0 |     0 |  -36.99 |    0.00 |    0.00 |     0 | 0.00 || -2.94751 0.16489 -0.15423 -1.08267 -4.10115 66.89361
  40 |  3498 | -2.40 |  429.50 |     0 |     0 |     0 |  -67.42 |    0.00 |    0.00 |     0 | 0.00 || 0.00555 -0.13399 2.72929 -14.01664 11.87993 -1.56375
  41 |  3482 | -2.39 |  412.70 |     0 |     0 |     0 |  -16.90 |    0.00 |    0.00 |     0 | 0.00 || -0.97785 0.50123 2.96292 -20.91956 34.35900 10.03672
  42 |  3480 | -2.41 |  460.60 |     0 |     0 |     0 |  -99.30 |    0.00 |    0.00 |     0 | 0.00 || 3.04083 0.48009 0.98891 -0.41311 -14.99878 35.88395
  43 |  3480 | -2.41 |  444.70 |     0 |     0 |     0 |  -88.73 |    0.00 |    0.00 |     0 | 0.00 || 2.93076 0.23975 2.35056 0.47919 1.57068 68.25932
  44 |  3476 | -2.47 |  441.60 |     0 |     0 |     0 |  -38.16 |    0.00 |    0.00 |     0 | 0.00 || -2.44600 -1.34089 -1.44101 -23.86422 -1.61110 21.29517
  45 |  3464 | -2.20 |  418.90 |     0 |     0 |     0 |   10.07 |    0.00 |    0.00 |     0 | 0.00 || -0.95185 -0.73857 -3.11360 -4.86659 30.93796 3.90989
  46 |  3462 | -2.32 |  420.80 |     0 |     0 |     0 |    0.88 |    0.00 |    0.00 |     0 | 0.00 || -0.83501 -0.32243 -2.82825 -5.20179 17.44949 28.57600
  47 |  3452 | -2.21 |  436.70 |     0 |     0 |     0 |   -9.41 |    0.00 |    0.00 |     0 | 0.00 || -2.17976 1.10566 1.78962 9.70268 13.79106 28.03583
  48 |  3450 | -2.32 |  432.10 |     0 |     0 |     0 |    9.77 |    0.00 |    0.00 |     0 | 0.00 || -2.15466 1.12023 2.72463 1.86825 31.88090 28.94140
  49 |  3444 | -1.95 |  414.60 |     0 |     0 |     0 |  -89.27 |    0.00 |    0.00 |     0 | 0.00 || 1.55605 0.51318 -0.82269 7.11725 27.03729 25.72852
  50 |  3440 | -2.32 |  430.70 |     0 |     0 |     0 |  -86.46 |    0.00 |    0.00 |     0 | 0.00 || -2.42024 -1.05562 -0.26222 10.63003 -17.63482 47.54098
  51 |  3436 | -2.28 |  444.10 |     0 |     0 |     0 |  -60.91 |    0.00 |    0.00 |     0 | 0.00 || 1.77261 1.11141 1.16198 -19.78063 6.45158 54.92018
  52 |  3424 | -2.29 |  425.60 |     0 |     0 |     0 |  -14.21 |    0.00 |    0.00 |     0 | 0.00 || -0.23744 -0.64007 -1.08639 -3.49938 -4.19042 -8.72993
  53 |  3422 | -2.31 |  417.00 |     0 |     0 |     0 |   22.17 |    0.00 |    0.00 |     0 | 0.00 || 1.13339 -0.11817 -0.79527 15.88716 16.06747 41.66578
  54 |  3418 | -2.76 |  424.10 |     0 |     0 |     0 |  -65.41 |    0.00 |    0.00 |     0 | 0.00 || 0.10053 0.54986 -0.60047 15.53015 0.33550 31.35730
  55 |  3402 | -2.20 |  401.60 |     0 |     0 |     0 |   60.17 |    0.00 |    0.00 |     0 | 0.00 || -2.44009 0.17329 -0.36682 24.39053 -19.93402 77.07364
  56 |  3398 | -2.30 |  450.60 |     0 |     0 |     0 |   -9.08 |    0.00 |    0.00 |     0 | 0.00 || -0.91739 -0.68412 -2.89855 28.68922 13.18298 44.50634
  57 |  3394 | -2.14 |  394.60 |     0 |     0 |     0 |   28.40 |    0.00 |    0.00 |     0 | 0.00 || -2.17821 0.70199 2.74260 -3.24047 34.48264 30.41604
  58 |  3382 | -2.32 |  435.60 |     0 |     0 |     0 |  -74.89 |    0.00 |    0.00 |     0 | 0.00 || 1.70090 1.08866 1.99333 -16.65941 -9.53827 53.23518
  59 |  3382 | -2.92 |  440.50 |     0 |     0 |     0 |  -29.48 |    0.00 |    0.00 |     0 | 0.00 || 0.60591 1.30343 -1.53519 5.37917 0.28967 20.69088
  60 |  3376 | -2.75 |  437.90 |     0 |     0 |     0 |    5.59 |    0.00 |    0.00 |     0 | 0.00 || 2.41587 0.94305 -1.14942 32.23600 13.22512 75.53933
  61 |  3370 | -2.25 |  412.60 |     0 |     0 |     0 |  -28.33 |    0.00 |    0.00 |     0 | 0.00 || 0.20999 -0.68714 -1.77763 0.04117 22.71310 3.94968
  62 |  3364 | -2.50 |  441.60 |     0 |     0 |     0 |   12.32 |    0.00 |    0.00 |     0 | 0.00 || 0.25566 -0.69667 2.59646 30.24835 -15.22049 42.62885
  63 |  3356 | -2.28 |  426.20 |     0 |     0 |     0 |  -85.50 |    0.00 |    0.00 |     0 | 0.00 || -0.75797 -0.77128 -2.57061 -7.40876 28.75850 6.20031
  64 |  3354 | -2.37 |  442.00 |     0 |     0 |     0 |  -21.11 |    0.00 |    0.00 |     0 | 0.00 || -0.66735 -0.58912 -2.99339 7.20222 1.06568 -4.60865
  65 |  3352 | -2.58 |  439.60 |     0 |     0 |     0 |   -3.54 |    0.00 |    0.00 |     0 | 0.00 || 2.39216 1.20081 -1.43528 -1.49360 31.87776 30.91960
  66 |  3346 | -2.36 |  419.10 |     0 |     0 |     0 |    0.87 |    0.00 |    0.00 |     0 | 0.00 || 2.68773 0.23417 -0.86012 -7.46385 19.85499 40.96738
  67 |  3338 | -2.20 |  418.00 |     0 |     0 |     0 |   23.72 |    0.00 |    0.00 |     0 | 0.00 || 1.37767 0.89507 2.09503 -22.18624 -3.17323 51.31539
  68 |  3334 | -2.26 |  415.80 |     0 |     0 |     0 |  -27.03 |    0.00 |    0.00 |     0 | 0.00 || -1.64230 -0.49368 2.87552 1.03507 25.13080 41.98529
  69 |  3326 | -2.24 |  451.10 |     0 |     0 |     0 |  -42.50 |    0.00 |    0.00 |     0 | 0.00 || -0.63461 1.22224 0.85203 21.37130 -1.23919 10.62346
  70 |  3324 | -2.42 |  451.30 |     0 |     0 |     0 |  -37.11 |    0.00 |    0.00 |     0 | 0.00 || 0.09973 -0.48263 -2.11760 9.51489 -9.22539 -6.80544
  71 |  3312 | -2.35 |  426.10 |     0 |     0 |     0 |    6.02 |    0.00 |    0.00 |     0 | 0.00 || -2.54206 0.20573 -0.27809 23.74662 -17.87415 77.72469
  72 |  3312 | -2.40 |  432.70 |     0 |     0 |     0 |   -6.22 |    0.00 |    0.00 |     0 | 0.00 || -0.97851 -0.84154 -0.30935 -10.17334 -25.26225 -3.02912
  73 |  3312 | -2.57 |  435.20 |     0 |     0 |     0 |   18.86 |    0.00 |    0.00 |     0 | 0.00 || -2.93425 -1.48216 -1.82191 -12.32802 -29.06587 7.79099
  74 |  3312 | -3.01 |  456.60 |     0 |     0 |     0 |  -59.49 |    0.00 |    0.00 |     0 | 0.00 || 0.97465 -0.89720 -2.78846 11.07001 -15.01823 35.61604
  75 |  3300 | -2.45 |  392.20 |     0 |     0 |     0 |  -29.93 |    0.00 |    0.00 |     0 | 0.00 || 2.46490 -0.05696 1.69523 -23.17151 20.54062 39.76622
  76 |  3292 | -2.18 |  459.70 |     0 |     0 |     0 |  -42.55 |    0.00 |    0.00 |     0 | 0.00 || -0.23715 -0.38155 -0.90441 -3.61985 5.04077 23.88678
  77 |  3288 | -2.40 |  428.80 |     0 |     0 |     0 |   43.21 |    0.00 |    0.00 |     0 | 0.00 || -0.81762 -0.59506 2.97136 35.11092 8.96316 45.07295
  78 |  3286 | -2.65 |  462.00 |     0 |     0 |     0 |  -40.99 |    0.00 |    0.00 |     0 | 0.00 || 1.58323 0.88940 0.63525 -11.57370 6.44063 19.63982
  79 |  3286 | -2.67 |  430.60 |     0 |     0 |     0 | -102.68 |    0.00 |    0.00 |     0 | 0.00 || 0.15765 -0.51686 2.73129 -6.96517 4.93187 1.23178
  80 |  3280 | -2.39 |  450.50 |     0 |     0 |     0 |  -69.71 |    0.00 |    0.00 |     0 | 0.00 || -1.19712 -0.37285 2.96931 3.12252 21.48715 33.52998
  81 |  3278 | -2.64 |  413.80 |     0 |     0 |     0 |    2.80 |    0.00 |    0.00 |     0 | 0.00 || 2.70786 -0.23120 -0.34612 8.53358 5.86118 66.51332
  82 |  3278 | -2.43 |  408.60 |     0 |     0 |     0 |  -18.28 |    0.00 |    0.00 |     0 | 0.00 || -2.12723 0.27104 -0.20711 -4.27834 -14.06539 55.96787
  83 |  3276 | -2.13 |  394.70 |     0 |     0 |     0 |   44.50 |    0.00 |    0.00 |     0 | 0.00 || -1.79743 -0.02088 -0.00597 32.80647 -24.94649 62.06914
  84 |  3276 | -2.78 |  450.70 |     0 |     0 |     0 |  -16.48 |    0.00 |    0.00 |     0 | 0.00 || -2.35330 1.21717 2.29695 20.62370 -5.80804 19.86856
  85 |  3274 | -2.54 |  451.80 |     0 |     0 |     0 |  -92.10 |    0.00 |    0.00 |     0 | 0.00 || 0.46503 -1.47418 0.72893 -20.03100 -11.10271 7.70919
  86 |  3274 | -2.30 |  403.90 |     0 |     0 |     0 |   44.17 |    0.00 |    0.00 |     0 | 0.00 || -3.07477 0.62093 0.23797 -10.39130 -1.79900 66.12305
  87 |  3268 | -2.41 |  437.60 |     0 |     0 |     0 |   40.69 |    0.00 |    0.00 |     0 | 0.00 || 2.43118 -1.29528 -2.62292 14.28857 -20.98052 61.94693
  88 |  3264 | -2.55 |  394.50 |     0 |     0 |     0 |  -63.38 |    0.00 |    0.00 |     0 | 0.00 || 0.13825 0.43172 -0.87425 3.45336 9.43358 5.30927
  89 |  3264 | -2.09 |  415.80 |     0 |     0 |     0 |   -8.07 |    0.00 |    0.00 |     0 | 0.00 || 2.29126 0.23142 2.07804 -13.85548 -1.64741 64.04434
  90 |  3264 | -2.15 |  411.30 |     0 |     0 |     0 |   15.88 |    0.00 |    0.00 |     0 | 0.00 || 0.77252 -0.88275 1.83910 -17.88563 -5.64991 35.30825
  91 |  3252 | -2.93 |  436.00 |     0 |     0 |     0 |  -37.14 |    0.00 |    0.00 |     0 | 0.00 || -0.94048 -0.50466 -0.58038 -11.20745 -6.35980 32.37033
  92 |  3252 | -2.75 |  433.60 |     0 |     0 |     0 |  -63.14 |    0.00 |    0.00 |     0 | 0.00 || 2.04271 1.33382 -0.56061 0.37903 22.90319 52.95716
  93 |  3246 | -2.30 |  390.30 |     0 |     0 |     0 |    7.68 |    0.00 |    0.00 |     0 | 0.00 || 0.13553 -0.41025 -1.29808 -6.42352 23.01669 1.38836
  94 |  3240 | -2.71 |  435.90 |     0 |     0 |     0 |  -68.87 |    0.00 |    0.00 |     0 | 0.00 || -0.34204 -0.92472 -1.38205 -5.03646 16.07663 28.65679
  95 |  3238 | -2.02 |  373.90 |     0 |     0 |     0 |   87.72 |    0.00 |    0.00 |     0 | 0.00 || -1.31883 -0.58676 3.10454 30.82078 16.61909 52.63677
  96 |  3236 | -2.68 |  462.30 |     0 |     0 |     0 |  -86.46 |    0.00 |    0.00 |     0 | 0.00 || 1.82862 -1.30028 -2.96263 -4.27040 -30.91840 13.18227
  97 |  3236 | -2.46 |  407.80 |     0 |     0 |     0 |  -17.05 |    0.00 |    0.00 |     0 | 0.00 || -0.47745 0.26669 2.74809 -18.41314 25.36740 0.52743
  98 |  3236 | -1.89 |  371.90 |     0 |     0 |     0 |   52.76 |    0.00 |    0.00 |     0 | 0.00 || 1.58088 -0.12540 -1.06338 7.27236 24.55073 25.06850
  99 |  3230 | -2.15 |  392.60 |     0 |     0 |     0 |   64.47 |    0.00 |    0.00 |     0 | 0.00 || 0.28135 0.06271 -0.62887 7.23049 9.70126 28.12559
 100 |  3230 | -2.27 |  394.00 |     0 |     0 |     0 |    2.49 |    0.00 |    0.00 |     0 | 0.00 || -2.31650 0.45387 2.03391 5.93631 23.57446 33.23555
 101 |  3224 | -2.50 |  440.80 |     0 |     0 |     0 |  -74.42 |    0.00 |    0.00 |     0 | 0.00 || -0.42608 -0.44511 -1.29873 -5.00564 -6.62841 -8.56771
 102 |  3220 | -1.75 |  372.30 |     0 |     0 |     0 |   41.00 |    0.00 |    0.00 |     0 | 0.00 || -0.96231 -0.63730 -2.80191 -4.11992 22.44945 31.14238
 103 |  3198 | -1.96 |  361.70 |     0 |     0 |     0 |   48.40 |    0.00 |    0.00 |     0 | 0.00 || -2.40197 -0.92659 -2.77554 9.63946 8.34527 66.40622
 104 |  3194 | -2.37 |  432.00 |     0 |     0 |     0 |  -78.02 |    0.00 |    0.00 |     0 | 0.00 || -2.71571 -0.17103 -0.34085 3.49296 -11.34310 62.06776
 105 |  3190 | -2.14 |  384.70 |     0 |     0 |     0 |   -3.53 |    0.00 |    0.00 |     0 | 0.00 || -1.96897 -0.22480 2.67188 1.47114 27.71222 49.41220
 106 |  3186 | -2.88 |  443.90 |     0 |     0 |     0 |  -52.55 |    0.00 |    0.00 |     0 | 0.00 || 1.14500 -0.67417 -1.71903 21.02793 -0.76254 39.04648
 107 |  3186 | -2.41 |  411.60 |     0 |     0 |     0 |  -10.84 |    0.00 |    0.00 |     0 | 0.00 || 0.57378 0.53373 2.58557 -19.53466 -2.41265 34.49545
 108 |  3176 | -2.15 |  387.10 |     0 |     0 |     0 |   34.85 |    0.00 |    0.00 |     0 | 0.00 || 0.91874 -0.52460 1.73725 -23.09777 2.98147 36.15129
 109 |  3174 | -3.25 |  435.50 |     0 |     0 |     0 |  -29.96 |    0.00 |    0.00 |     0 | 0.00 || 0.12804 0.08118 -1.05799 7.74509 2.66079 27.31236
 110 |  3172 | -2.70 |  453.90 |     0 |     0 |     0 |  -48.92 |    0.00 |    0.00 |     0 | 0.00 || -1.51113 0.77018 -2.82728 -13.29498 20.25572 45.67762
 111 |  3168 | -2.28 |  440.30 |     0 |     0 |     0 |  -38.09 |    0.00 |    0.00 |     0 | 0.00 || 2.78988 -1.45832 -2.30177 -11.12146 -28.92592 10.41720
 112 |  3164 | -2.12 |  392.30 |     0 |     0 |     0 |   26.77 |    0.00 |    0.00 |     0 | 0.00 || 1.70535 -0.12412 -1.81082 20.84071 -23.57556 16.69262
 113 |  3164 | -2.64 |  415.80 |     0 |     0 |     0 |  -91.74 |    0.00 |    0.00 |     0 | 0.00 || -2.04052 0.41906 -3.14118 -0.25659 23.02261 52.47955
 114 |  3154 | -2.51 |  444.40 |     0 |     0 |     0 |  -16.21 |    0.00 |    0.00 |     0 | 0.00 || -2.99256 0.51654 -0.30861 18.22387 -7.28392 79.80461
 115 |  3152 | -2.26 |  384.80 |     0 |     0 |     0 |   23.85 |    0.00 |    0.00 |     0 | 0.00 || -0.90821 -0.22743 2.84040 -9.50311 31.30385 3.54222
 116 |  3150 | -2.39 |  440.80 |     0 |     0 |     0 |  -58.98 |    0.00 |    0.00 |     0 | 0.00 || -2.13714 0.84326 1.99573 21.23355 -5.02133 22.20013
 117 |  3148 | -2.34 |  390.50 |     0 |     0 |     0 |   33.81 |    0.00 |    0.00 |     0 | 0.00 || 2.67247 -0.24149 1.41814 -16.86332 27.79404 39.00308
 118 |  3140 | -2.51 |  428.80 |     0 |     0 |     0 | -105.31 |    0.00 |    0.00 |     0 | 0.00 || -2.17696 -0.39100 -0.54719 -2.28225 -18.06341 52.79354
 119 |  3136 | -2.64 |  419.10 |     0 |     0 |     0 |    2.88 |    0.00 |    0.00 |     0 | 0.00 || -2.82219 -0.47451 2.33023 -3.55807 20.75994 62.51745
 120 |  3126 | -2.39 |  397.70 |     0 |     0 |     0 |   79.59 |    0.00 |    0.00 |     0 | 0.00 || -1.88070 -0.28431 2.94613 26.87323 19.77868 63.66899
 121 |  3126 | -1.46 |  340.60 |     0 |     0 |     0 | -128.44 |    0.00 |    0.00 |     0 | 0.00 || -2.16104 -0.63060 1.62259 8.64894 24.21249 36.80534
 122 |  3122 | -2.74 |  427.10 |     0 |     0 |     0 |   -5.56 |    0.00 |    0.00 |     0 | 0.00 || -2.52014 0.92668 -2.59655 -0.41536 21.72173 60.83131
 123 |  3118 | -2.59 |  412.60 |     0 |     0 |     0 |  -24.20 |    0.00 |    0.00 |     0 | 0.00 || 2.70855 1.01473 0.68034 -25.50677 10.12729 38.51598
 124 |  3114 | -2.23 |  390.10 |     0 |     0 |     0 |   17.52 |    0.00 |    0.00 |     0 | 0.00 || -1.64939 -0.43688 0.02226 2.51108 -17.28079 44.11936
 125 |  3106 | -2.89 |  403.30 |     0 |     0 |     0 |  -20.13 |    0.00 |    0.00 |     0 | 0.00 || 0.97475 0.94579 2.04900 -34.01625 16.74880 20.33772
 126 |  3106 | -2.26 |  376.70 |     0 |     0 |     0 |   30.00 |    0.00 |    0.00 |     0 | 0.00 || 2.36245 -0.73041 1.96268 -21.39713 15.13164 56.31759
 127 |  3100 | -2.64 |  427.40 |     0 |     0 |     0 |   -1.71 |    0.00 |    0.00 |     0 | 0.00 || -1.54500 1.35868 1.91087 43.34702 9.76725 63.95248
 128 |  3098 | -3.03 |  418.90 |     0 |     0 |     0 |    4.27 |    0.00 |    0.00 |     0 | 0.00 || 0.17667 1.32499 -0.24703 48.71518 -1.00829 60.34052
 129 |  3096 | -2.68 |  434.80 |     0 |     0 |     0 |  -87.27 |    0.00 |    0.00 |     0 | 0.00 || -0.39060 1.37008 0.65303 22.90446 0.18328 16.63997
 130 |  3092 | -3.06 |  442.90 |     0 |     0 |     0 |  -61.42 |    0.00 |    0.00 |     0 | 0.00 || -3.05029 -1.14070 -2.49770 -30.38891 7.22568 25.86026
 131 |  3086 | -2.63 |  430.00 |     0 |     0 |     0 |  -56.14 |    0.00 |    0.00 |     0 | 0.00 || -1.85614 -0.77186 -3.05894 -17.09600 35.51163 18.54376
 132 |  3082 | -2.39 |  437.60 |     0 |     0 |     0 |  -98.16 |    0.00 |    0.00 |     0 | 0.00 || 0.35810 -0.49866 -1.23773 10.81912 -1.76630 -4.15667
 133 |  3080 | -2.72 |  435.40 |     0 |     0 |     0 |  -73.94 |    0.00 |    0.00 |     0 | 0.00 || 1.65848 0.33575 1.75993 -19.20909 -11.50667 21.14047
 134 |  3078 | -3.15 |  433.90 |     0 |     0 |     0 |  -28.49 |    0.00 |    0.00 |     0 | 0.00 || -2.12267 -0.07550 0.18750 35.69056 -21.72031 66.72879
 135 |  3078 | -2.01 |  399.10 |     0 |     0 |     0 |   39.34 |    0.00 |    0.00 |     0 | 0.00 || 1.73554 0.24445 1.80532 -17.95306 -15.32895 18.28836
 136 |  3074 | -2.14 |  403.30 |     0 |     0 |     0 |  -55.07 |    0.00 |    0.00 |     0 | 0.00 || -1.39723 0.05886 -0.40667 -3.53400 -16.67200 40.60881
