*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	ank1C4.7.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
  29 |  2824 | -2.47 |  370.80 |     0 |     0 |     0 |   16.88 |    0.00 |    0.00 |     0 | 0.00 || -0.41783 0.36456 2.46915 -4.50483 2.82734 -0.66416
  30 |  2824 | -1.47 |  301.00 |     0 |     0 |     0 |  -73.96 |    0.00 |    0.00 |     0 | 0.00 || -1.62870 0.62613 1.13255 32.82150 -46.25077 -9.50651
  31 |  2824 | -1.43 |  302.70 |     0 |     0 |     0 |  -46.46 |    0.00 |    0.00 |     0 | 0.00 || -0.11215 1.19082 -0.14258 37.55208 -18.29590 -3.46585
  32 |  2822 | -1.67 |  320.10 |     0 |     0 |     0 |  -90.06 |    0.00 |    0.00 |     0 | 0.00 || -2.45485 -1.01520 0.78548 10.77921 40.04005 -6.57923
  33 |  2818 | -1.37 |  296.50 |     0 |     0 |     0 |  -19.23 |    0.00 |    0.00 |     0 | 0.00 || 1.79542 -0.89871 0.77314 -23.12799 5.96871 0.78085
  34 |  2816 | -2.79 |  350.00 |     0 |     0 |     0 |  -79.68 |    0.00 |    0.00 |     0 | 0.00 || -1.08133 -0.02083 0.45904 -7.62714 -30.53242 -8.89689
  35 |  2812 | -2.20 |  347.80 |     0 |     0 |     0 |  -76.87 |    0.00 |    0.00 |     0 | 0.00 || -1.15047 -0.45046 -2.80108 12.61384 34.15031 -9.82257
  36 |  2802 | -2.13 |  325.90 |     0 |     0 |     0 |  -77.97 |    0.00 |    0.00 |     0 | 0.00 || -0.82374 -0.03727 0.72809 -6.12384 -23.62795 -14.52976
  37 |  2802 | -1.88 |  329.20 |     0 |     0 |     0 |  -45.48 |    0.00 |    0.00 |     0 | 0.00 || -0.04437 0.87711 -0.43456 37.21212 -23.63562 -7.18735
  38 |  2800 | -2.78 |  363.30 |     0 |     0 |     0 |    9.70 |    0.00 |    0.00 |     0 | 0.00 || -0.35368 0.49748 -2.21968 -2.86652 -7.35646 1.23644
  39 |  2798 | -2.25 |  346.90 |     0 |     0 |     0 |  -76.87 |    0.00 |    0.00 |     0 | 0.00 || -1.15047 -0.45046 -1.23029 -34.15026 12.61411 -9.82268
  40 |  2796 | -2.18 |  363.20 |     0 |     0 |     0 |   46.01 |    0.00 |    0.00 |     0 | 0.00 || 2.71806 -0.20417 -1.09257 10.07936 -13.62417 37.08937
  41 |  2796 | -1.84 |  325.20 |     0 |     0 |     0 |   49.21 |    0.00 |    0.00 |     0 | 0.00 || -2.21320 -0.04820 1.79566 16.02736 17.07717 27.14807
  42 |  2796 | -2.14 |  333.60 |     0 |     0 |     0 |  -41.36 |    0.00 |    0.00 |     0 | 0.00 || 1.79406 -0.76067 0.56254 -21.94140 3.15765 7.28482
  43 |  2792 | -1.32 |  285.20 |     0 |     0 |     0 |  -27.56 |    0.00 |    0.00 |     0 | 0.00 || 1.45786 0.24484 1.27944 -3.62412 -8.76861 2.94225
  44 |  2792 | -2.14 |  334.10 |     0 |     0 |     0 |  -40.66 |    0.00 |    0.00 |     0 | 0.00 || 1.79513 -0.75592 -1.00703 3.14999 21.95768 7.33389
  45 |  2788 | -2.25 |  313.70 |     0 |     0 |     0 |  -39.95 |    0.00 |    0.00 |     0 | 0.00 || 0.65268 -0.32985 -2.69514 25.50939 3.76995 -12.06135
  46 |  2788 | -2.11 |  326.80 |     0 |     0 |     0 |  -54.60 |    0.00 |    0.00 |     0 | 0.00 || -0.72572 0.85710 1.74412 -8.49343 36.64771 -5.43280
  47 |  2784 | -2.02 |  334.30 |     0 |     0 |     0 |  -51.05 |    0.00 |    0.00 |     0 | 0.00 || -0.75596 -0.34379 1.70579 28.82940 -17.01094 -16.59362
  48 |  2782 | -1.44 |  304.90 |     0 |     0 |     0 |  -47.04 |    0.00 |    0.00 |     0 | 0.00 || 0.19056 1.28964 2.60361 -37.73180 20.72318 -0.61609
  49 |  2776 | -2.19 |  312.30 |     0 |     0 |     0 |  -71.37 |    0.00 |    0.00 |     0 | 0.00 || -1.46295 -0.34599 -1.03739 -32.80618 4.28725 -6.08501
  50 |  2774 | -1.38 |  294.60 |     0 |     0 |     0 |  -39.40 |    0.00 |    0.00 |     0 | 0.00 || 1.21576 1.07295 0.77961 4.32301 34.26819 1.30811
  51 |  2770 | -2.27 |  348.60 |     0 |     0 |     0 |  -93.53 |    0.00 |    0.00 |     0 | 0.00 || 2.00993 -1.14947 2.77983 -1.98361 5.22871 4.16113
  52 |  2768 | -1.59 |  319.90 |     0 |     0 |     0 |  -96.72 |    0.00 |    0.00 |     0 | 0.00 || -2.59941 -0.84986 2.26128 -40.26961 9.95763 -2.85400
  53 |  2768 | -1.93 |  319.60 |     0 |     0 |     0 |  -23.38 |    0.00 |    0.00 |     0 | 0.00 || -1.60588 -0.63900 -1.28796 -0.79711 9.55702 -2.65513
